[2025-09-26 10:31:14,491 preprocessor.py->remove_duplicate_rows():103]INFO: Removing duplicate rows...
[2025-09-26 10:31:15,172 preprocessor.py->view_data():27]INFO: Displaying first 10 rows of data...
[2025-09-26 10:31:15,188 preprocessor.py->data_size():41]INFO: Size of the dataset...
[2025-09-26 10:31:15,188 preprocessor.py->data_size():41]INFO: Size of the dataset...
[2025-09-26 10:31:15,189 preprocessor.py->check_null():56]INFO: Total null values in each column...
[2025-09-26 10:31:15,261 preprocessor.py->check_duplicates():87]INFO: Checking for duplicate rows...
[2025-09-26 10:31:15,467 preprocessor.py->data_size():41]INFO: Size of the dataset...
[2025-09-26 10:31:15,467 preprocessor.py->data_size():41]INFO: Size of the dataset...
[2025-09-26 10:31:15,467 preprocessor.py->check_duplicates():87]INFO: Checking for duplicate rows...
[2025-09-26 10:31:15,693 preprocessor.py->data_size():41]INFO: Size of the dataset...
[2025-09-26 10:31:15,723 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:15,910 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,016 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,121 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,229 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,335 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,437 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,540 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,641 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,743 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,846 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:16,949 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,052 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,155 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,257 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,358 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,464 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,573 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,678 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
[2025-09-26 10:31:17,783 preprocessor.py->check_unique_values():71]INFO: Total number of unique values in each column...
